zip,type,primary_city,state
544,UNIQUE,Holtsville,NY
601,STANDARD,Adjuntas,PR
602,STANDARD,Aguada,PR
603,STANDARD,Aguadilla,PR
604,PO BOX,Aguadilla,PR
605,PO BOX,Aguadilla,PR
606,STANDARD,Maricao,PR
610,STANDARD,Anasco,PR
611,PO BOX,Angeles,PR
612,STANDARD,Arecibo,PR
613,PO BOX,Arecibo,PR
614,PO BOX,Arecibo,PR
616,STANDARD,Bajadero,PR
617,STANDARD,Barceloneta,PR
622,STANDARD,Boqueron,PR
623,STANDARD,Cabo Rojo,PR
624,STANDARD,Penuelas,PR
627,STANDARD,Camuy,PR
631,PO BOX,Castaner,PR
636,PO BOX,Rosario,PR
637,STANDARD,Sabana Grande,PR
638,STANDARD,Ciales,PR
641,STANDARD,Utuado,PR
646,STANDARD,Dorado,PR
647,STANDARD,Ensenada,PR
650,STANDARD,Florida,PR
652,STANDARD,Garrochales,PR
653,STANDARD,Guanica,PR
656,STANDARD,Guayanilla,PR
659,STANDARD,Hatillo,PR
660,STANDARD,Hormigueros,PR
662,STANDARD,Isabela,PR
664,STANDARD,Jayuya,PR
667,STANDARD,Lajas,PR
669,STANDARD,Lares,PR
670,STANDARD,Las Marias,PR
674,STANDARD,Manati,PR
676,STANDARD,Moca,PR
677,STANDARD,Rincon,PR
678,STANDARD,Quebradillas,PR
680,STANDARD,Mayaguez,PR
681,PO BOX,Mayaguez,PR
682,STANDARD,Mayaguez,PR
683,STANDARD,San German,PR
685,STANDARD,San Sebastian,PR
687,STANDARD,Morovis,PR
688,STANDARD,Sabana Hoyos,PR
690,STANDARD,San Antonio,PR
692,STANDARD,Vega Alta,PR
693,STANDARD,Vega Baja,PR
694,PO BOX,Vega Baja,PR
698,STANDARD,Yauco,PR
703,STANDARD,Aguas Buenas,PR
704,STANDARD,Aguirre,PR
705,STANDARD,Aibonito,PR
707,STANDARD,Maunabo,PR
714,STANDARD,Arroyo,PR
715,STANDARD,Mercedita,PR
716,STANDARD,Ponce,PR
717,STANDARD,Ponce,PR
718,STANDARD,Naguabo,PR
719,STANDARD,Naranjito,PR
720,STANDARD,Orocovis,PR
721,PO BOX,Palmer,PR
723,STANDARD,Patillas,PR
725,STANDARD,Caguas,PR
726,PO BOX,Caguas,PR
727,STANDARD,Caguas,PR
728,STANDARD,Ponce,PR
729,STANDARD,Canovanas,PR
730,STANDARD,Ponce,PR
731,STANDARD,Ponce,PR
732,PO BOX,Ponce,PR
733,PO BOX,Ponce,PR
734,PO BOX,Ponce,PR
735,STANDARD,Ceiba,PR
736,STANDARD,Cayey,PR
737,PO BOX,Cayey,PR
738,STANDARD,Fajardo,PR
739,STANDARD,Cidra,PR
740,STANDARD,Puerto Real,PR
741,STANDARD,Punta Santiago,PR
742,PO BOX,Roosevelt Roads,PR
744,PO BOX,Rio Blanco,PR
745,STANDARD,Rio Grande,PR
751,STANDARD,Salinas,PR
754,STANDARD,San Lorenzo,PR
757,STANDARD,Santa Isabel,PR
765,STANDARD,Vieques,PR
766,STANDARD,Villalba,PR
767,STANDARD,Yabucoa,PR
769,STANDARD,Coamo,PR
771,STANDARD,Las Piedras,PR
772,STANDARD,Loiza,PR
773,STANDARD,Luquillo,PR
775,PO BOX,Culebra,PR
777,STANDARD,Juncos,PR
778,STANDARD,Gurabo,PR
780,STANDARD,Coto Laurel,PR
782,STANDARD,Comerio,PR
783,STANDARD,Corozal,PR
784,STANDARD,Guayama,PR
785,PO BOX,Guayama,PR
786,PO BOX,La Plata,PR
791,STANDARD,Humacao,PR
792,PO BOX,Humacao,PR
794,STANDARD,Barranquitas,PR
795,STANDARD,Juana Diaz,PR
801,PO BOX,St Thomas,VI
802,STANDARD,St Thomas,VI
803,PO BOX,St Thomas,VI
804,PO BOX,St Thomas,VI
805,PO BOX,St Thomas,VI
820,STANDARD,Christiansted,VI
821,PO BOX,Christiansted,VI
822,PO BOX,Christiansted,VI
823,PO BOX,Christiansted,VI
824,PO BOX,Christiansted,VI
830,STANDARD,St John,VI
831,PO BOX,St John,VI
840,STANDARD,Frederiksted,VI
841,PO BOX,Frederiksted,VI
850,STANDARD,Kingshill,VI
851,PO BOX,Kingshill,VI
901,STANDARD,San Juan,PR
902,PO BOX,San Juan,PR
906,PO BOX,San Juan,PR
907,STANDARD,San Juan,PR
908,PO BOX,San Juan,PR
909,STANDARD,San Juan,PR
910,PO BOX,San Juan,PR
911,STANDARD,San Juan,PR
912,STANDARD,San Juan,PR
913,STANDARD,San Juan,PR
914,PO BOX,San Juan,PR
915,STANDARD,San Juan,PR
916,PO BOX,San Juan,PR
917,STANDARD,San Juan,PR
918,STANDARD,San Juan,PR
919,PO BOX,San Juan,PR
920,STANDARD,San Juan,PR
921,STANDARD,San Juan,PR
922,PO BOX,San Juan,PR
923,STANDARD,San Juan,PR
924,STANDARD,San Juan,PR
925,STANDARD,San Juan,PR
926,STANDARD,San Juan,PR
927,STANDARD,San Juan,PR
928,PO BOX,San Juan,PR
929,PO BOX,San Juan,PR
930,PO BOX,San Juan,PR
931,PO BOX,San Juan,PR
933,PO BOX,San Juan,PR
934,STANDARD,Fort Buchanan,PR
935,UNIQUE,San Juan,PR
936,PO BOX,San Juan,PR
937,PO BOX,San Juan,PR
939,UNIQUE,San Juan,PR
940,PO BOX,San Juan,PR
949,STANDARD,Toa Baja,PR
950,PO BOX,Toa Baja,PR
951,PO BOX,Toa Baja,PR
952,STANDARD,Sabana Seca,PR
953,STANDARD,Toa Alta,PR
954,PO BOX,Toa Alta,PR
955,PO BOX,San Juan,PR
956,STANDARD,Bayamon,PR
957,STANDARD,Bayamon,PR
958,PO BOX,Bayamon,PR
959,STANDARD,Bayamon,PR
960,PO BOX,Bayamon,PR
961,STANDARD,Bayamon,PR
962,STANDARD,Catano,PR
